iso3,country_name,mean_exports,max_exports,no_observations,no_zeroes
CMR,Cameroon,3.21,3927,162520,114978
COD,"Congo, Democratic Republic of the",3.37,2321,85860,67199
COG,"Congo, Republic of the",7.1,5455,99841,77618
COK,Cook Islands,0.28,126,28778,24406
COL,Colombia,12.65,20505,248553,134369
COM,Comoros,0.16,23,24837,20419
CPV,Cape Verde,0.54,164,66543,54235
CRI,Costa Rica,8.71,8950,204397,116330
CUB,Cuba,0.97,887,116830,86176
CUW,Curacao,1.74,814,25205,14859
CXR,Christmas Island,0.15,25,20039,17067
CYM,Cayman Islands,1.67,1013,52393,43372
CYP,Cyprus,6.33,7568,238844,144778
CZE,Czech Republic,25.25,53165,361673,134507
DEU,Germany,207.76,604221,505048,106212
DJI,Djibouti,0.28,108,50921,43495
DMA,Dominica,0.08,43,96735,76762
DNK,Denmark,27.57,72376,417392,144334
DOM,Dominican Republic,4.76,12838,188147,115199
DZA,Algeria,32.92,71378,131418,97307
ECU,Ecuador,12.76,20201,210291,129022
EGY,"Egypt, Arab Rep.",8.11,29061,299337,145862
ERI,Eritrea,1.49,373,46703,39924
ESH,Western Sahara,0.06,8,6386,5390
ESP,Spain,99.64,507348,444857,119530
EST,Estonia,4.96,5249,250130,137521
ETH,Ethiopia (excludes Eritrea),3.5,4111,169668,121932
FIN,Finland,28.49,46100,345940,141456
FJI,Fiji,0.68,502,112434,74405
FLK,Falkland Islands,1.08,185,17524,15012
FRA,France,158.17,597713,488779,105854
FRO,Faeroe Islands,1.1,167,41075,31701
FSM,"Micronesia, Federated States of",0.28,57,16044,13156
GAB,Gabon,4.42,4523,105156,81146
GBR,United Kingdom,155.67,546990,493871,119178
GEO,Georgia,1.04,472,190823,134294
GHA,Ghana,3.73,6488,180850,123076
GIB,Gibraltar,0.59,671,57828,47632
GIN,Guinea,3.19,1074,97025,78332
GMB,"Gambia, The",0.25,50,73257,61106
GNB,Guinea-Bissau,5.16,990,18911,16019
GNQ,Equatorial Guinea,21.91,3188,34080,27772
GRC,Greece,27.68,72284,340433,151943
GRD,Grenada,0.09,20,58708,48105
GRL,Greenland,1.96,491,29919,24355
GTM,Guatemala,2.06,1300,174822,107039
GUF,French Guiana,0.06,0,12,5
GUM,Guam,0.12,41,36830,28633
GUY,Guyana,0.71,490,98856,71973
HKG,Hong Kong,29.52,191535,387871,135613
HMD,Heard Island and McDonald Islands,0.01,1,4358,3638
HND,Honduras,2.48,1805,145168,97178
HRV,Croatia,9.41,15188,251509,135813
HTI,Haiti,0.85,624,66869,53011
HUN,Hungary,19.47,32754,322083,135165
IDN,Indonesia,20.86,60480,398769,156056
IMN,Isle of Man,15.28,123,54,23
IND,India,69.54,458348,458718,134699
IOT,British Indian Ocean Ter.,0.11,55,27357,24094
IRL,Ireland,40.96,67868,332240,147634
IRN,Iran,28.84,106805,250447,142323
IRQ,Iraq,61.05,22701,71569,58109
ISL,Iceland,5.04,5459,190033,123061
ISR,Israel,23.88,44598,302920,132810
ITA,Italy,141.65,480001,476930,110258
JAM,Jamaica,1.35,1283,157336,107050
JOR,Jordan,3,6445,195097,116938
JPN,Japan,419.33,1415613,418911,126628
KAZ,Kazakhstan,23.12,31599,161252,100996
KEN,Kenya,5.75,10147,224274,143489
KGZ,Kyrgyzstan,2.66,1859,104934,76304
KHM,Cambodia,4.42,2662,131392,94496
KIR,Kiribati,0.23,85,22107,19075
KNA,Saint Kitts and Nevis,0.16,57,54605,44155
KOR,"Korea, South",105.16,203221,404257,131690
KWT,Kuwait,24.96,37888,180226,117567
LAO,Laos,3.84,1803,76981,59784
LBN,Lebanon,0.52,861,269503,145285
LBR,Liberia,1.86,595,66270,56152
LBY,Libya,35.22,18754,73995,59691
LCA,Saint Lucia,0.17,144,67450,48700
LIE,Liechtenstein,8.46,295,3034,1789
LKA,Sri Lanka,4.1,17761,261440,143403
LSO,Lesotho,2.07,334,35750,29037
LTU,Lithuania,6.43,11109,268554,140093
LUX,Luxembourg,21.58,62883,255449,130761
LVA,Latvia,5.85,11463,241274,133402
MAC,Macao,1.1,1093,107253,71113
MAR,Morocco,6.79,5875,254319,141308
MCO,Monaco,0.02,0,4,2
MDA,Moldova,2.49,2010,134406,89826
MDG,Madagascar,1.47,1427,143136,100064
MDV,Maldives,0.3,115,48908,38625
MEX,Mexico,102.76,279748,332546,137594
MHL,Marshall Islands,2.33,781,30833,26292
MKD,Macedonia,3.53,2541,143330,88137
MLI,Mali,3.06,2494,121058,92946
MLT,Malta,5,4324,196532,124661
MMR,Myanmar,8.7,11599,101074,72647
MNE,Montenegro,1.84,1076,49748,31417
MNG,Mongolia,6.67,2780,81905,61938
MNP,Northern Marianas,0.07,42,20697,16468
MOZ,Mozambique,4.43,3123,120864,92506
MRT,Mauritania,2.6,1163,69112,56528
MSR,Montserrat,0.02,3,33768,28449
MUS,Mauritius,2.09,2159,178090,113730
MWI,Malawi,3.29,3831,110255,81967
MYS,Malaysia,21.91,37621,382376,148319
MYT,Mayotte,0.05,26,12459,9373
"NAM",Namibia,1.37,1027,194306,140444
NCL,New Caledonia,1.09,386,96687,74843
NER,Niger,2.96,2715,112934,88409
NFK,Norfolk Island,0.03,2,10002,8567
NGA,Nigeria,86.33,169010,196703,133460
NIC,Nicaragua,1.73,897,124986,88073
NIU,Niue,0.13,95,23575,20091
NLD,Netherlands,62.32,193707,484893,129138
NOR,Norway,47.8,173194,324450,137472
NPL,Nepal,2.38,2464,112751,75941
NRU,Nauru,0.14,87,37406,32335
NZL,New Zealand,15.39,39099,326632,148136
OMN,Oman,9.26,22785,171143,110668
PAK,Pakistan,11.1,47625,302648,156043
PAN,Panama,1.41,1525,204284,117720
PCN,Pitcairn,0.02,9,18244,15850
PER,Peru,24.36,33889,224824,123449
PHL,Philippines,14.33,65100,313383,151355
PLW,Palau,0.04,10,15097,12616
PNG,Papua New Guinea,5.25,2471,70730,54207
POL,Poland,46.22,151853,389642,158089
PRI,Puerto Rico,0.01,0,25,13
PRK,"Korea, North",1.61,5944,180083,122711
PRT,Portugal,24.69,55490,366106,150324
PRY,Paraguay,3.8,2006,108819,76205
PSE,Palestine,3.95,1030,41745,32853
PYF,French Polynesia,0.13,54,63579,48282
QAT,Qatar,26.06,32236,166066,112911
ROU,Romania,23.58,49756,308195,149590
RUS,Russia,53.54,125608,350310,145379
RWA,Rwanda,3.6,2403,71646,55993
SAU,Saudi Arabia,34.63,55590,271794,150881
SCG,Serbia and Montenegro,4.99,5331,27390,11722
SDN,Sudan,10.15,9418,113170,91237
SEN,Senegal,1.22,579,176385,118751
SGP,Singapore,17.77,20860,387573,145020
SGS,South Georgia and South Sandwich Islands,0.05,9,4831,4092
SHN,"Saint Helena, Ascension, and Tristan da Cunha",0.07,21,38225,32612
SLB,Solomon Islands,0.33,112,36306,30422
SLE,Sierra Leone,1.22,3321,109954,85968
SLV,El Salvador,3.49,2310,135014,86773
SMR,San Marino,0.22,598,62214,47068
SOM,Somalia,0.71,313,43068,36594
SPM,Saint Pierre and Miquelon,0.1,19,9439,7917
SRB,Serbia,8.86,11375,155497,73732
SSD,South Sudan,23.26,4329,1431,944
STP,Sao Tome and Principe,0.04,8,43583,36656
SUR,Suriname,1.4,1025,105557,82825
SVK,Slovakia,15.32,25551,292232,139053
SVN,Slovenia,7.96,14024,285543,132209
SWE,Sweden,41.65,87211,395584,132315
SWZ,Swaziland,1.57,927,147003,109008
SXM,Sint Maarten,0.07,22,4914,3415
SYC,Seychelles,0.7,287,86160,68440
SYR,Syria,5.18,45330,192354,124263
TCA,Turks and Caicos Islands,0.07,55,56611,48357
TCD,Chad,9.92,3310,43268,36985
TGO,Togo,1.46,843,99571,73004
THA,Thailand,13.41,21976,425045,146228
TJK,Tajikistan,4.09,1001,56713,44993
TKL,Tokelau,0.04,22,50304,42177
TKM,Turkmenistan,15.22,9441,53615,42702
TLS,East Timor,0.48,431,39710,33827
TON,Tonga,0.12,46,28536,23409
TTO,Trinidad and Tobago,4.64,4764,161523,102957
TUN,Tunisia,3.22,4383,228179,128868
TUR,Turkey,22.34,60632,408159,134593
TUV,Tuvalu,0.31,71,18968,16416
TWN,Taiwan,33.33,82328,396874,127856
TZA,Tanzania,2.31,2309,193263,129629
UGA,Uganda,2.98,5424,145506,103693
UKR,Ukraine,20.97,48904,335438,172535
UMI,U.S. Minor Outlying Islands,0.07,71,42973,36875
URY,Uruguay,3.07,5460,173672,109832
USA,United States,720.86,3266031,513572,99200
UZB,Uzbekistan,3.82,2861,83616,61015
VAT,Holy See,0.03,6,21378,18508
VCT,Saint Vincent and the Grenadines,0.24,102,63868,49271
VEN,Venezuela,16.95,44638,182439,114485
VGB,British Virgin Islands,0.77,988,94766,76493
VIR,U.S. Virgin Islands,0.47,16,71,26
VNM,Vietnam,14.12,37670,317891,156808
VUT,Vanuatu,1.02,314,36771,30097
WLF,Wallis and Futuna Islands,0.01,1,10395,8922
WSM,Samoa,0.31,94,47287,37063
YEM,Yemen,6.79,4205,108046,82108
ZAF,South Africa,8.97,27623,415897,157415
ZMB,Zambia,3.27,4297,114920,82221
ZWE,Zimbabwe,1.17,680,136006,94472
