id,industry_description,mean_exports,max_exports,no_observations,no_zeroes
48,Wines,8.81,17195,213716,117754
49,Malt liquors and malt,18.45,23818,179923,101884
50,Soft drinks; mineral waters,17.7,58983,257976,140498
51,Tobacco products,26.13,102640,235124,134336
52,Textile fibre preparation; textile weaving,21.34,246517,344835,171213
53,Made-up textile articles except apparel,6.36,17651,391348,192908
54,Carpets and rugs,3.46,16354,265513,143581
55,Cordage rope twine and netting,0.96,1331,234543,125027
56,Other textiles n.e.c.,6.5,20764,307153,153166
57,Knitted and crocheted fabrics and articles,10.42,42050,397698,196339
58,Wearing apparel except fur apparel,23.01,91896,506144,238280
59,Dressing & dyeing of fur; processing of fur,1.63,6379,130653,74210
60,Tanning and dressing of leather,6.78,22684,184452,99312
61,Luggage handbags etc.; saddlery & harness,4.66,8285,366600,186902
62,Footwear,12.06,43163,372876,196295
63,Sawmilling and planing of wood,17.96,31578,247071,134990
64,Veneer sheets plywood particle board etc.,12.86,78298,224925,121628
65,Builders’ carpentry and joinery,14.97,46014,209825,116001
66,Wooden containers,3.42,7112,195088,107693
67,Other wood products; articles of cork/straw,3.06,16621,331583,170806
68,Pulp paper and paperboard,30.99,106969,301621,150070
69,Corrugated paper and paperboard,16.37,66759,283916,142817
70,Other articles of paper and paperboard,8.35,20824,374885,184797
71,Publishing of books and other publications,3.2,8351,378505,195730
72,Publishing of newspapers journals etc.,13.34,26845,175255,99674
73,Publishing of recorded media,2.82,1806,169299,102308
74,Other publishing,1.22,2403,330683,168921
75,Printing,18.32,97399,373622,181414
76,Service activities related to printing,9.89,9353,104597,58065
77,Reproduction of recorded media,22.95,20472,33613,21363
78,Coke oven products,314.59,210261,53512,34302
79,Refined petroleum products,158.84,689720,319655,169260
80,Processing of nuclear fuel,12.04,11806,81830,48410
81,Basic chemicals except fertilizers,60.2,225749,367995,173250
82,Fertilizers and nitrogen compounds,22.32,99179,197467,105856
83,Plastics in primary forms; synthetic rubber,41.85,158036,296165,146461
84,Pesticides and other agro-chemical products,7.17,27703,214444,108127
85,Paints varnishes printing ink and mastics,12.84,55007,295304,150218
86,Pharmaceuticals medicinal chemicals etc.,57.96,207183,380241,180919
87,Soap cleaning & cosmetic preparations,17.09,87468,388759,193025
88,Other chemical products n.e.c.,21.14,227393,435301,210509
89,Man-made fibres,12.97,92990,187332,96573
90,Rubber tyres and tubes,12.85,48966,275980,138581
91,Other rubber products,8.35,34360,389019,192866
92,Plastic products,40.14,197074,482105,225038
93,Glass and glass products,15.62,74879,371857,182357
94,Pottery china and earthenware,3.7,26673,323151,165148
95,Refractory ceramic products,5.62,46413,163078,86853
96,Struct.non-refractory clay; ceramic products,8.12,73291,234859,125520
97,Cement lime and plaster,27.82,147585,167892,100058
98,Articles of concrete cement and plaster,32.21,101392,193650,107092
99,Cutting shaping & finishing of stone,6.94,22175,198141,109049
100,Other non-metallic mineral products n.e.c.,9.22,69710,275469,137026
101,Basic iron and steel,98.27,964575,375386,185293
102,Basic precious and non-ferrous metals,68.6,517119,331416,161768
103,Casting of iron and steel,10.03,83981,264452,138221
104,Structural metal products,32.57,109832,288356,149921
105,Tanks reservoirs and containers of metal,7.73,13955,223679,122020
106,Steam generators,11.69,18316,146238,83301
107,Cutlery hand tools and general hardware,9.16,33652,431422,212001
108,Other fabricated metal products n.e.c.,19.75,130876,483221,227877
109,Engines & turbines (not for transport equipment),19.06,33046,225913,122809
110,Pumps compressors taps and valves,18.31,73509,409150,197870
111,Bearings gears gearing & driving elements,9.91,37749,337549,171450
112,Ovens furnaces and furnace burners,3.08,2852,197186,104739
113,Lifting and handling equipment,15.24,63518,304791,156407
114,Other general purpose machinery,23.37,152751,436553,210243
115,Agricultural and forestry machinery,12.47,25953,248332,128833
116,Machine tools,13.96,50621,349097,178263
117,Machinery for metallurgy,6.47,24558,120723,66468
118,Machinery for mining & construction,16.89,147674,334163,173726
119,Food/beverage/tobacco processing machinery,5.17,12330,255581,131232
120,Machinery for textile apparel and leather,4.87,17778,268892,141765
121,Weapons and ammunition,8.21,17551,148226,85899
122,Other special purpose machinery,23,124321,371734,185338
123,Domestic appliances n.e.c.,16.87,90216,367690,187869
124,Office accounting and computing machinery,42.14,117097,448807,221711
125,Electric motors generators and transformers,20.24,154165,457444,216303
126,Electricity distribution & control apparatus,17.31,80183,407076,198665
127,Insulated wire and cable,12.39,166781,356089,179145
128,Accumulators primary cells and batteries,6.74,71609,293490,149727
129,Lighting equipment and electric lamps,7.21,25120,373200,187185
130,Other electrical equipment n.e.c.,15.3,37101,416978,202832
131,Electronic valves tubes etc.,84.59,295224,350806,177572
132,TV/radio transmitters; line comm. apparatus,37.07,92857,401113,200155
133,TV and radio receivers and associated goods,26.2,97966,417532,211872
134,Medical surgical and orthopedic equipment,17.71,83503,379228,184182
135,Measuring/testing/navigating appliances etc.,18.55,82216,420499,199833
136,Optical instruments & photographic equipment,11.73,23638,326220,169262
137,Watches and clocks,4.94,5179,267915,143415
138,Motor vehicles,147.76,440148,362326,195277
139,Automobile bodies trailers & semi-trailers,11.16,25485,248525,137063
140,Parts/accessories for automobiles,52.42,285369,427422,210741
141,Building and repairing of ships,34.48,53927,181233,113507
142,Building/repairing of pleasure/sport. boats,5.07,9713,155453,93268
143,Railway/tramway locomotives & rolling stock,17.86,42110,128073,72058
144,Aircraft and spacecraft,44.77,84027,258794,144385
145,Motorcycles,9.63,42095,223329,128282
146,Bicycles and invalid carriages,3.09,3203,245497,137234
147,Other transport equipment n.e.c.,0.93,2078,168167,95088
148,Furniture,24.35,97079,412160,206453
149,Jewellery and related articles,14.82,19996,302899,157922
150,Musical instruments,1.5,2087,227752,128035
151,Sports goods,3.81,11085,306837,162732
152,Games and toys,7.7,21405,317275,168806
153,Other manufacturing n.e.c.,7.92,43869,427790,208205
154,Manufacturing services on physical inputs owned by others,117.08,26426,11693,5833
155,Maintenance and repair services n.i.e.,46.97,2577,18995,9403
156,Transport,1442.14,1047168,64771,21460
157,Travel,1311.46,946006,43927,17748
158,Construction,4201.07,1438899,41874,22337
159,Insurance and pension services,1871.66,1412604,46687,22605
160,Financial services,1120.47,886362,49593,22776
161,Charges for the use of intellectual property n.i.e.,139.57,18713,44255,21228
162,"Telecommunications, computer, and information services",1890.46,1922669,56484,22439
163,Other business services,2795.92,3266031,61736,23986
164,Heritage and recreational services,6904.15,505072,8636,6166
165,Health services,6883,2299522,24006,14300
166,Education services,2781.07,1314752,34327,18931
167,Government goods and services n.i.e.,19.81,4702,40507,19334
168,Services not allocated,775.16,67672,38824,20635
169,Trade-related services,6911.71,3036797,39111,20646
170,Other personal services,6048.57,529953,9542,7064
